TilID Xstart Ystart UZ  EPSG   MinLon    MaxLon   MinLat    MaxLat
01EDP 399960 3400000 1S  32701 -178.8219 -176.8222 -60.5241  -59.5264 
01EDQ 399960 3500020 1S  32701 -178.7731 -176.827  -59.6261  -58.6286 
01EDR 399960 3600040 1S  32701 -178.7272 -176.8314 -58.7278  -57.7306 
01EDS 399960 3700000 1S  32701 -178.6841 -176.8357 -57.83    -56.833  
01EDT 399960 3800020 1S  32701 -178.6434 -176.8396 -56.9316  -55.9348 
01EEK 499980 3000040 1S  32701 -177.0004 -174.7474 -64.1144  -63.1123 
01EEL 499980 3100000 1S  32701 -177.0004 -174.8174 -63.2173  -62.2157 
01EEM 499980 3200020 1S  32701 -177.0004 -174.8827 -62.3196  -61.3184 
01EEN 499980 3300040 1S  32701 -177.0004 -174.9437 -61.4217  -60.421  
01EEP 499980 3400000 1S  32701 -177.0004 -175.0008 -60.5243  -59.524  
01EEQ 499980 3500020 1S  32701 -177.0004 -175.0544 -59.6262  -58.6262 
01EER 499980 3600040 1S  32701 -177.0003 -175.1047 -58.728   -57.7283 
01EES 499980 3700000 1S  32701 -177.0003 -175.1521 -57.8301  -56.8308 
01EET 499980 3800020 1S  32701 -177.0003 -175.1967 -56.9317  -55.9327 
01EFK 600000 3000040 1S  32701 -175.0177 -172.7004 -64.0999  -63.0681 
01EFL 600000 3100000 1S  32701 -175.0768 -172.8336 -63.2034  -62.1732 
01EFM 600000 3200020 1S  32701 -175.132  -172.958  -62.3062  -61.2774 
01EFN 600000 3300040 1S  32701 -175.1837 -173.0742 -61.4088  -60.3815 
01EFP 600000 3400000 1S  32701 -175.2322 -173.183  -60.5118  -59.4858 
01EFQ 600000 3500020 1S  32701 -175.2778 -173.2851 -59.6142  -58.5894 
01EFR 600000 3600040 1S  32701 -175.3207 -173.381  -58.7164  -57.6928 
01EFS 600000 3700000 1S  32701 -175.3611 -173.4712 -57.819   -56.7965 
01EFT 600000 3800020 1S  32701 -175.3992 -173.5562 -56.9209  -55.8995 
01FBA 199980 4100020 1S  32701 178.4051  180       -54.1981  -53.1645 
01FBB 199980 4200040 1S  32701 178.5019  180       -53.2983  -52.268  
01FBC 199980 4300000 1S  32701 178.5936  180       -52.3991  -51.3718 
01FBD 199980 4400020 1S  32701 178.6806  180       -51.4993  -50.4749 
01FBE 199980 4500040 1S  32701 178.7633  180       -50.5994  -49.5777 
01FBF 199980 4600000 1S  32701 178.8418  180       -49.7     -48.6808 
01FBG 199980 4700020 1S  32701 178.9166  180       -48.8     -47.7832 
01FCA 300000 4100020 1S  32701 -180      -178.3516 -54.2281  -53.2114 
01FCB 300000 4200040 1S  32701 -180      -178.3241 -53.3293  -52.3135 
01FCC 300000 4300000 1S  32701 -179.94   -178.2979 -52.431   -51.4159 
01FCD 300000 4400020 1S  32701 -179.8818 -178.2731 -51.5319  -50.5176 
01FCE 300000 4500040 1S  32701 -179.8266 -178.2494 -50.6327  -49.6191 
01FCF 300000 4600000 1S  32701 -179.7741 -178.227  -49.7339  -48.7209 
01FCG 300000 4700020 1S  32701 -179.7241 -178.2056 -48.8344  -47.8221 
01FCU 300000 3900040 1S  32701 179.7933  180       -55.9953  -55.0062 
01FCV 300000 4000000 1S  32701 179.8656  180       -55.097   -54.1092 
01FDA 399960 4100020 1S  32701 -178.5346 -176.8503 -54.2359  -53.2397 
01FDB 399960 4200040 1S  32701 -178.5021 -176.8534 -53.3369  -52.3408 
01FDC 399960 4300000 1S  32701 -178.4714 -176.8564 -52.4383  -51.4423 
01FDD 399960 4400020 1S  32701 -178.4422 -176.8593 -51.539   -50.5432 
01FDE 399960 4500040 1S  32701 -178.4145 -176.862  -50.6396  -49.6439 
01FDF 399960 4600000 1S  32701 -178.3882 -176.8645 -49.7406  -48.745  
01FDG 399960 4700020 1S  32701 -178.3632 -176.867  -48.8409  -47.8454 
01FDU 399960 3900040 1S  32701 -178.605  -176.8434 -56.033   -55.0364 
01FDV 399960 4000000 1S  32701 -178.5688 -176.8469 -55.1348  -54.1384 
01FEA 499980 4100020 1S  32701 -177.0003 -175.3161 -54.236   -53.2377 
01FEB 499980 4200040 1S  32701 -177.0003 -175.3517 -53.337   -52.3389 
01FEC 499980 4300000 1S  32701 -177.0003 -175.3854 -52.4384  -51.4405 
01FED 499980 4400020 1S  32701 -177.0003 -175.4174 -51.5391  -50.5414 
01FEE 499980 4500040 1S  32701 -177.0003 -175.4478 -50.6397  -49.6422 
01FEF 499980 4600000 1S  32701 -177.0003 -175.4767 -49.7407  -48.7433 
01FEG 499980 4700020 1S  32701 -177.0003 -175.5041 -48.841   -47.8438 
01FEU 499980 3900040 1S  32701 -177.0003 -175.2388 -56.0331  -55.0343 
01FEV 499980 4000000 1S  32701 -177.0003 -175.2785 -55.1349  -54.1364 
01FFA 600000 4100020 1S  32701 -175.5016 -173.7839 -54.2262  -53.2077 
01FFB 600000 4200040 1S  32701 -175.5321 -173.8518 -53.3276  -52.3098 
01FFC 600000 4300000 1S  32701 -175.5611 -173.9161 -52.4293  -51.4123 
01FFD 600000 4400020 1S  32701 -175.5887 -173.9772 -51.5303  -50.5141 
